original,unstylized
"By this curious turn of disposition I have gained the reputation of deliberate heartlessness; how undeserved, I alone can appreciate. I took a seat at the end of the hearthstone opposite that towards which my landlord advanced, and filled up an interval of silence by attempting to caress the canine mother, who had left her nursery, and was sneaking wolfishly to the back of my legs, her lip curled up, and her white teeth watering for a snatch. My caress provoked a long, guttural gnarl. 'You'd better let the dog alone,' growled Mr. Heathcliff in unison, checking fiercer demonstrations with a punch of his foot. 'She's not accustomed to be spoiled - not kept for a pet.' Then, striding to a side door, he shouted again, 'Joseph!' Joseph mumbled indistinctly in the depths of the cellar, but gave no intimation of ascending; so his master dived down to him, leaving me VIS-A-VIS the ruffianly bitch and a pair of grim shaggy sheep-dogs, who shared with her a jealous guardianship over all my movements.","This curious turn of events has earned me a reputation for deliberate cruelty; how unjustified it was, only I can see. I sat down at the end of the hearth, opposite the one my owner was approaching, and took advantage of a moment's silence to attempt to stroke the dog, which had left its nursery and was prowling like a wolf towards the back of my legs, lip curled and white teeth bared. My caress brought out a long, guttural growl. ""Leave the dog alone,"" growled Mr. Heathcliff in unison, quelling his outbursts with a kick. ""She is not used to being petted, nor to being kept like a pet."" Then, going to a side door, he called again, ""Joseph!"" "" Joseph murmured indistinctly from the depths of the cellar, but made no move to come up; Then his master sprang upon him, leaving me to face the ferocious female dog and two grim, shaggy sheepdogs, who shared with her a jealous watch over my every move."
"Not anxious to come in contact with their fangs, I sat still; but, imagining they would scarcely understand tacit insults, I unfortunately indulged in winking and making faces at the trio, and some turn of my physiognomy so irritated madam, that she suddenly broke into a fury and leapt on my knees. I flung her back, and hastened to interpose the table between us. This proceeding aroused the whole hive: half-a-dozen four-footed fiends, of various sizes and ages, issued from hidden dens to the common centre.","Having no intention of making contact with their fangs, I sat silently; but, thinking they would find it difficult to understand silent insults, I unfortunately yielded to winks and grimaces addressed to the trio. An aberration in my features so irritated Madame that she burst into a rage and jumped onto my knee. I threw her back and hastened to push the table between us. This action threw the whole group into a frenzy: half a dozen four-legged demons, of various sizes and ages, sprang out of hidden caves in the common center."
"I felt my heels and coat-laps peculiar subjects of assault; and parrying off the larger combatants as effectually as I could with the poker, I was constrained to demand, aloud, assistance from some of the household in re-establishing peace. Mr. Heathcliff and his man climbed the cellar steps with vexatious phlegm: I don't think they moved one second faster than usual, though the hearth was an absolute tempest of worrying and yelping. Happily, an inhabitant of the kitchen made more despatch: a lusty dame, with tucked-up gown, bare arms, and fire-flushed cheeks, rushed into the midst of us flourishing a frying-pan: and used that weapon, and her tongue, to such purpose, that the storm subsided magically, and she only remained, heaving like a sea after a high wind, when her master entered on the scene. 'What the devil is the matter?' he asked, eyeing me in a manner that I could ill endure, after this inhospitable treatment. 'What the devil, indeed!' I muttered. 'The herd of possessed swine could have had no worse spirits in them than those animals of yours, sir.","I felt my heels and tails like strange targets for attack; and while I fended off the more imposing combatants as best I could with the poker, I felt obliged to loudly implore some of the housemates for help in restoring peace. Mr. Heathcliff and his servant mounted the cellar stairs with an embarrassing drool: I don't think they moved a second faster than usual, though the fireplace was a perfect storm of moans and grunts. Fortunately, an inhabitant of the kitchen was more hasty: a voluptuous lady, with tucked-up dress, bare arms, and flushed cheeks, burst in between us, brandishing a frying pan. She used this weapon, and her tongue, with such determination that the storm abated as if by magic, and she was left alone, tossed like a sea in a violent wind, when her master arrived. ""What the devil is going on?"" he asked, looking at me with a look I could hardly bear after this inhospitable treatment. ""What the devil, really!"" I murmured. ""That herd of possessed pigs couldn't have had a worse mind than yours, sir."""
"You might as well leave a stranger with a brood of tigers!' 'They won't meddle with persons who touch nothing,' he remarked, putting the bottle before me, and restoring the displaced table. 'The dogs do right to be vigilant. Take a glass of wine?' 'No, thank you.' 'Not bitten, are you?' 'If I had been, I would have set my signet on the biter.' Heathcliff's countenance relaxed into a grin. 'Come, come,' he said, 'you are flurried, Mr. Lockwood. Here, take a little wine.","'Might as well leave a stranger with a pack of tigers!' 'They don't bother with people who don't touch anything,' he observed, placing the bottle before me and straightening the table. 'The dogs had better be vigilant. A glass of wine?' 'No, thank you.' 'Not bitten, eh?' 'If I had been, I'd have put my seal on the biter.' Heathcliff's face relaxed into a smile. 'Now, now,' he said, 'you're excited, Mr. Lockwood. Here, have a little wine.'"
"Guests are so exceedingly rare in this house that I and my dogs, I am willing to own, hardly know how to receive them. Your health, sir?' I bowed and returned the pledge; beginning to perceive that it would be foolish to sit sulking for the misbehaviour of a pack of curs; besides, I felt loth to yield the fellow further amusement at my expense; since his humour took that turn. He - probably swayed by prudential consideration of the folly of offending a good tenant - relaxed a little in the laconic style of chipping off his pronouns and auxiliary verbs, and introduced what he supposed would be a subject of interest to me, - a discourse on the advantages and disadvantages of my present place of retirement.","Guests are so rare in this house that my dogs and I, I freely confess, hardly know how to receive them. ""To your health, sir?"" I bowed and returned my promise. I began to realize that it would be foolish to sulk over the unseemly behavior of a pack of stray dogs. Besides, I was hardly inclined to grant this man any further entertainment at my expense, his temper having taken this turn. He—probably influenced by a cautious reflection on the folly of insulting a good tenant—relaxed a little in his laconic style of truncating his pronouns and auxiliaries, and introduced what he thought would be a topic of interest to me: a treatise on the advantages and disadvantages of my present lodgings."
"I found him very intelligent on the topics we touched; and before I went home, I was encouraged so far as to volunteer another visit to-morrow. He evidently wished no repetition of my intrusion. I shall go, notwithstanding.","I found him very intelligent on the topics discussed; and before I left, I was encouraged to come back tomorrow. He obviously didn't want me to come back. I'm going anyway."
"It is astonishing how sociable I feel myself compared with him. YESTERDAY afternoon set in misty and cold. I had half a mind to spend it by my study fire, instead of wading through heath and mud to Wuthering Heights.","It's amazing how sociable I feel compared to him. Yesterday afternoon was cold and foggy. I almost wanted to spend my afternoon by the fire in my study, rather than wading through heather and mud to Wuthering Heights."
"On coming up from dinner, however, (N.B. - I dine between twelve and one o'clock; the housekeeper, a matronly lady, taken as a fixture along with the house, could not, or would not, comprehend my request that I might be served at five) - on mounting the stairs with this lazy intention, and stepping into the room, I saw a servant-girl on her knees surrounded by brushes and coal-scuttles, and raising an infernal dust as she extinguished the flames with heaps of cinders. This spectacle drove me back immediately; I took my hat, and, after a four-miles' walk, arrived at Heathcliff's garden-gate just in time to escape the first feathery flakes of a snow-shower. On that bleak hill-top the earth was hard with a black frost, and the air made me shiver through every limb.","However, when I got up after dinner (NB: I dine between twelve and one o'clock; the housekeeper, a lady-in-waiting, considered a regular at the house, could not or would not understand my request to be served at five o'clock), when, with this nonchalant intention, I mounted the stairs and entered the room, I saw a maid on her knees, surrounded by brooms and coal bins, raising an infernal cloud of dust by smothering the flames with piles of embers. This sight immediately revolted me; I took my hat, and after a four-mile walk, I arrived at the gate of Heathcliff's garden, just in time to escape the first flakes of a snowstorm. On that bare hill, the earth was hard with black frost, and the air made me shiver all over."
"Being unable to remove the chain, I jumped over, and, running up the flagged causeway bordered with straggling gooseberry-bushes, knocked vainly for admittance, till my knuckles tingled and the dogs howled. 'Wretched inmates!' I ejaculated, mentally, 'you deserve perpetual isolation from your species for your churlish inhospitality. At least, I would not keep my doors barred in the day-time. I don't care - I will get in!' So resolved, I grasped the latch and shook it vehemently.","Unable to unfasten the chain, I jumped over it and ran up the cobbled embankment, lined with gooseberry bushes. I knocked in vain for permission to enter, until my joints tingled and the dogs howled. “Filthy inhabitants!” I cried to myself. “You deserve eternal isolation for your gross inhospitality. At least I wouldn’t leave my doors locked during the day. No matter, I’ll get in!” Determined, I grabbed the latch and shook it vigorously."
"Vinegar-faced Joseph projected his head from a round window of the barn. 'What are ye for?' he shouted. 'T' maister's down i' t' fowld. Go round by th' end o' t' laith, if ye went to spake to him.' 'Is there nobody inside to open the door?' I hallooed, responsively. 'There's nobbut t' missis; and shoo'll not oppen 't an ye mak' yer flaysome dins till neeght.' 'Why? Cannot you tell her whom I am, eh, Joseph?' 'Nor-ne me! I'll hae no hend wi't,' muttered the head, vanishing. The snow began to drive thickly.","Joseph, looking winey, poked his head out of a round window in the barn. ""What are you for?"" he called. ""The teacher is downstairs. Go through the door if you want to speak to him."" ""Is there no one to open it?"" I answered. ""There is no one, except the teacher; she refuses to open it, and you'll make your filthy racket until you have to."" ""Why? You can't tell her who I am, can you, Joseph?"" ""Me neither! I don't want to,"" murmured the head as it disappeared. The snow was getting deep."
"I seized the handle to essay another trial; when a young man without coat, and shouldering a pitchfork, appeared in the yard behind. He hailed me to follow him, and, after marching through a wash-house, and a paved area containing a coal-shed, pump, and pigeon-cot, we at length arrived in the huge, warm, cheerful apartment where I was formerly received. It glowed delightfully in the radiance of an immense fire, compounded of coal, peat, and wood; and near the table, laid for a plentiful evening meal, I was pleased to observe the 'missis,' an individual whose existence I had never previously suspected.","I grasped the latch to try again; a young man, coatless and holding a pitchfork, then appeared in the courtyard behind me. He beckoned me to follow him, and after passing through a wash-house and a paved area containing a coal shed, a pump, and a dovecote, we finally arrived at the immense, warm, and welcoming apartment where I had been received previously. It glowed delightfully in the light of a huge fire, made of embers, peat, and wood; and near the table, laid for a sumptuous dinner, I saw, to my great joy, the ""mistress,"" a person whose existence I had never known."
"I bowed and waited, thinking she would bid me take a seat. She looked at me, leaning back in her chair, and remained motionless and mute. 'Rough weather!' I remarked. 'I'm afraid, Mrs. Heathcliff, the door must bear the consequence of your servants' leisure attendance: I had hard work to make them hear me.' She never opened her mouth. I stared - she stared also: at any rate, she kept her eyes on me in a cool, regardless manner, exceedingly embarrassing and disagreeable. 'Sit down,' said the young man, gruffly. 'He'll be in soon.' I obeyed; and hemmed, and called the villain Juno, who deigned, at this second interview, to move the extreme tip of her tail, in token of owning my acquaintance. 'A beautiful animal!' I commenced again. 'Do you intend parting with the little ones, madam?' 'They are not mine,' said the amiable hostess, more repellingly than Heathcliff himself could have replied. 'Ah, your favourites are among these?' I continued, turning to an obscure cushion full of something like cats. 'A strange choice of favourites!' she observed scornfully.","I bowed and waited, thinking she would ask me to sit down. She looked at me, leaned back in her chair, and remained motionless and silent. ""Bad weather!"" I remarked. ""I fear, Mrs. Heathcliff, that the door may suffer the consequences of the inconsiderate presence of your servants: I have done all I could to make them hear me."" She remained silent. I stared at her—and at least she kept her eyes fixed on me coldly and carelessly, in a most embarrassing and disagreeable manner. ""Sit down,"" said the young man gruffly. ""He will be here presently."" I obeyed, nodded, and called to wicked Juno, who, during this second conversation, deigned to wag the tip of her tail in recognition. ""A fine animal!"" I resumed. ""Do you intend to part with the little ones, madam?"" ""They are not mine,"" said the kind landlady, in a tone more repugnant than Heathcliff himself could have managed. ""Ah, are your favorites among them?"" I continued, turning to a dark pillow covered with what looked like cats. ""A strange choice of favorites!"" she remarked disdainfully."
"Unluckily, it was a heap of dead rabbits. I hemmed once more, and drew closer to the hearth, repeating my comment on the wildness of the evening. 'You should not have come out,' she said, rising and reaching from the chimney-piece two of the painted canisters. Her position before was sheltered from the light; now, I had a distinct view of her whole figure and countenance.","Unfortunately, it was a pile of dead rabbits. I made another detour and approached the fireplace, repeating my remark about the violence of the evening. ""You shouldn't have gone out,"" she said, getting up and taking two painted tin cans from the mantelpiece. She had previously been shielded from the light; now I had a clear view of her whole figure and face."
"She was slender, and apparently scarcely past girlhood: an admirable form, and the most exquisite little face that I have ever had the pleasure of beholding; small features, very fair; flaxen ringlets, or rather golden, hanging loose on her delicate neck; and eyes, had they been agreeable in expression, that would have been irresistible: fortunately for my susceptible heart, the only sentiment they evinced hovered between scorn and a kind of desperation, singularly unnatural to be detected there. The canisters were almost out of her reach; I made a motion to aid her; she turned upon me as a miser might turn if any one attempted to assist him in counting his gold. 'I don't want your help,' she snapped; 'I can get them for myself.' 'I beg your pardon!' I hastened to reply. 'Were you asked to tea?' she demanded, tying an apron over her neat black frock, and standing with a spoonful of the leaf poised over the pot. 'I shall be glad to have a cup,' I answered. 'Were you asked?' she repeated. 'No,' I said, half smiling. 'You are the proper person to ask me.' She flung the tea back, spoon and all, and resumed her chair in a pet; her forehead corrugated, and her red under-lip pushed out, like a child's ready to cry. Meanwhile, the young man had slung on to his person a decidedly shabby upper garment, and, erecting himself before the blaze, looked down on me from the corner of his eyes, for all the world as if there were some mortal feud unavenged between us.","She was slim, and seemed scarcely out of her youth: an admirable figure, and the most delicate face I have ever had the pleasure of contemplating; fine, very fair features; blond, or rather golden, curls hanging loosely around her delicate neck; and eyes, if they had held a pleasing expression, that would have been irresistible: fortunately for my sensitive heart, the only feelings they expressed oscillated between contempt and a sort of despair, very unnatural to detect in them. Her glance was almost beyond her reach; I made a gesture to help her; she turned to me as a miser would turn to me if someone attempted to help him count his gold. ""I don't want your help,"" she said sharply; ""I can go and get it myself."" ""Excuse me!"" I hastened to reply. ""Are you invited to tea?"" "" she asked, tying an apron over her crisp black dress and standing over the teapot with a spoon on the tray. ""I'd like a cup of tea,"" I replied. ""Have you been invited?"" she repeated. ""No,"" I said with a half-smile. ""You have to ask me."" She threw back the tea, spoon included, and sat back in her chair like a cat; her brow furrowed and her red lower lip swelling, like a child about to cry. Meanwhile, the young man had wrapped himself in a rather threadbare outer garment and, straightening himself before the flames, looked at me out of the corner of his eye, as if a deadly quarrel were raging between us."
"I began to doubt whether he were a servant or not: his dress and speech were both rude, entirely devoid of the superiority observable in Mr. and Mrs. Heathcliff; his thick brown curls were rough and uncultivated, his whiskers encroached bearishly over his cheeks, and his hands were embrowned like those of a common labourer: still his bearing was free, almost haughty, and he showed none of a domestic's assiduity in attending on the lady of the house. In the absence of clear proofs of his condition, I deemed it best to abstain from noticing his curious conduct; and, five minutes afterwards, the entrance of Heathcliff relieved me, in some measure, from my uncomfortable state. 'You see, sir, I am come, according to promise!' I exclaimed, assuming the cheerful; 'and I fear I shall be weather-bound for half an hour, if you can afford me shelter during that space.' 'Half an hour?' he said, shaking the white flakes from his clothes; 'I wonder you should select the thick of a snow-storm to ramble about in. Do you know that you run a risk of being lost in the marshes? People familiar with these moors often miss their road on such evenings; and I can tell you there is no chance of a change at present.' 'Perhaps I can get a guide among your lads, and he might stay at the Grange till morning - could you spare me one?' 'No, I could not.' 'Oh, indeed! Well, then, I must trust to my own sagacity.' 'Umph!' 'Are you going to mak' the tea?' demanded he of the shabby coat, shifting his ferocious gaze from me to the young lady. 'Is HE to have any?' she asked, appealing to Heathcliff. 'Get it ready, will you?' was the answer, uttered so savagely that I started.","I began to doubt whether he was a servant: his dress and speech were coarse, devoid of all the superiority characteristic of Mr. and Mrs. Heathcliff; his thick brown curls were rough and uncultivated, his whiskers curled insolently over his cheeks, and his hands were tanned like a common workman's; yet his manner was free, almost haughty, and he showed none of the diligence of a servant to the lady of the house. Having no clear indication of his condition, I thought it best to ignore his strange behavior; and five minutes later, Heathcliff's entrance relieved me somewhat of my uneasiness. ""You see, sir, I came as promised!"" I exclaimed cheerfully; ""and I fear I shall be exposed to the weather for half an hour, if you can shelter me during that time."" ""Half an hour?"" "" he said, shaking the white flakes from his clothes; I wonder if you should choose the thickest snowstorm to walk in. Do you know you might get lost in the marshes? Those who know these moors often get lost on such nights; and I can tell you there is no chance of change at the moment. ""Perhaps I could find a guide among your boys, who could stay at the Grange until tomorrow. Could you provide me with one?"" ""No, I can't."" ""Oh, really! Well, then I must trust to my wits."" ""Phew!"" ""Are you going to make tea?"" he asked the shabby coat, turning his fierce gaze from me to the young woman. ""Is he going to have tea too?"" she asked, imploring Heathcliff. ""Make it, will you?"" was his reply, so abrupt that I started."
"The tone in which the words were said revealed a genuine bad nature. I no longer felt inclined to call Heathcliff a capital fellow. When the preparations were finished, he invited me with - 'Now, sir, bring forward your chair.' And we all, including the rustic youth, drew round the table: an austere silence prevailing while we discussed our meal.","The tone of his voice betrayed real malice. I no longer felt the need to call Heathcliff a great man. Once the preparations were complete, he invited me: ""Now, sir, move your chair forward."" And all of us, including the uncouth young man, gathered around the table: a severe silence reigned as we discussed our meal."
"I thought, if I had caused the cloud, it was my duty to make an effort to dispel it. They could not every day sit so grim and taciturn; and it was impossible, however ill-tempered they might be, that the universal scowl they wore was their every-day countenance. 'It is strange,' I began, in the interval of swallowing one cup of tea and receiving another - 'it is strange how custom can mould our tastes and ideas: many could not imagine the existence of happiness in a life of such complete exile from the world as you spend, Mr. Heathcliff; yet, I'll venture to say, that, surrounded by your family, and with your amiable lady as the presiding genius over your home and heart - ' 'My amiable lady!' he interrupted, with an almost diabolical sneer on his face. 'Where is she - my amiable lady?' 'Mrs. Heathcliff, your wife, I mean.' 'Well, yes - oh, you would intimate that her spirit has taken the post of ministering angel, and guards the fortunes of Wuthering Heights, even when her body is gone. Is that it?' Perceiving myself in a blunder, I attempted to correct it.","I thought that if I had caused this cloud, it was my duty to try to dispel it. They could not remain so gloomy and silent every day; and it was impossible, however gloomy they might be, that their general frown should be their daily expression. 'It is strange,' I began between cups of tea, 'it is strange how habit can mould our tastes and ideas: many would not imagine happiness in a life of such complete exile from the world as yours, Mr. Heathcliff; yet I dare say, surrounded by your family, and with your amiable wife as the ruling spirit of your hearth and heart—' 'My amiable wife!' he interrupted with a smile almost evil. 'Where is she, my amiable wife?' 'Mrs. Heathcliff, your wife, I mean.' » “Well… oh, one might suggest that his spirit took on the role of a guardian angel, watching over the fate of Wuthering Heights even after his body disappeared. Is that right?” I felt I had made a mistake and tried to correct it."
"I might have seen there was too great a disparity between the ages of the parties to make it likely that they were man and wife. One was about forty: a period of mental vigour at which men seldom cherish the delusion of being married for love by girls: that dream is reserved for the solace of our declining years. The other did not look seventeen.","I should have noticed that the age difference between the two was too great to make it likely that they were a man and a woman. One was in his forties: a period of mental fortitude when men rarely entertain the illusion of having married a woman for love; we reserve that fantasy for the comfort of our later years. The other didn't look seventeen."
